shelter_id,relief_item_id,consumed_days,consumed_qty,daily_rate,seasons,total_requested,total_remaining,urgent,popularity,label
SH_000002,relief_item_000347,0.0,0.6442914664146121,0.0,0,5898.463419271171,4055.2864507143163,1249.6134784685999,5489.517741018212,1
SH_000003,relief_item_000321,0.0,1.7442498545579586,0.01368818697664487,0,2164.4260495152216,2194.6086839095083,982.0360673677578,2066.2265279266667,1
SH_000004,relief_item_000759,0.0,0.19641804290799098,0.006072983563617749,0,768.2089709161908,701.0238057726942,48.74896872230461,555.3042537201852,1
SH_000005,relief_item_000812,4.437355853973085,0.0,0.0,0,102.25817937802111,82.19904639121498,157.21239360093213,489.8657238700668,1
SH_000006,relief_item_000554,0.0,1.0401791959272253,0.0,0,334.1348829228111,297.3470120559197,329.56800341644634,370.66160765032106,1
SH_000008,relief_item_000753,2.0345464424365507,0.0,0.032134852394506655,0,907.5104617428042,811.243293493268,77.83634235368486,976.4471374456439,1
SH_000010,relief_item_000337,0.4044106359945125,0.0,0.030302315191334094,0,119.94353512949976,499.80314975497254,259.0670709508032,426.37187563685245,1
SH_000010,relief_item_000765,2.2463010753170876,0.36176924991670195,0.0,0,969.7779866436864,841.420026855675,638.0071816796014,1028.9994910122589,1
SH_000013,relief_item_000090,0.0,0.0,0.0,0,64.58907320927035,13.990544877901286,0.0,111.78568819098781,1
SH_000015,relief_item_000569,57.02946914310853,12.32693679261156,0.12895580308216995,여름,439.1119245472671,383.07631582006815,39.155905682128214,152.6699009998961,1
SH_000016,relief_item_000049,0.0,0.4782759256612877,0.0,0,0.0,198.6678353985341,174.1613788898461,0.0,1
SH_000024,relief_item_000133,0.0,1.8862844202205102,0.05086673913917839,0,206.3449677397074,30.89300111958834,24.52885694595659,43.11929180972835,1
SH_000024,relief_item_000730,0.0,0.18363316836069943,0.013417645061906186,0,168.04330578700092,139.0488516355236,0.0,0.0,1
SH_000024,relief_item_000848,0.0,0.34881687366784003,0.0,0,96.80007697057421,0.0,7.727622885923495,0.0,1
SH_000025,relief_item_000239,2.9268092622899933,0.6721380081589787,0.0,0,0.0,211.34129005247127,13.6180738749113,9.129128627126729,1
SH_000025,relief_item_000326,0.7788531795730845,0.0,0.011746088406717507,0,36.002195359985535,0.0,200.45364922259287,243.79440827897477,1
SH_000028,relief_item_000243,2.054031270208545,0.0,0.030566131687463777,0,297.0649359120557,0.0,130.97372266248954,120.11928967360748,1
SH_000032,relief_item_000326,0.0,2.5326349033994635,0.0,0,2487.896588722388,1526.2939806045422,230.5041179006421,2254.547172765128,1
